awb_number,batch_id,courier_,merchant_id,city,tier,discrepancy_type,expected_value,actual_value,variance_rs,severity,detected_at
AWB100000,BATCH-D,DTDC,M-018,Pune,Tier-2,EXCESS_FORWARD_CHARGE,95.0,114.0,19.0,LOW,2026-09-14 22:11:32.127304
AWB100001,BATCH-A,Bluedart,M-011,Delhi,Tier-1,PHANTOM_RTO_CHARGE,0.0,140.0,140.0,MEDIUM,2026-09-14 22:11:31.631484
AWB100002,BATCH-A,DTDC,M-001,Indore,Tier-2,PHANTOM_RTO_CHARGE,0.0,183.0,183.0,MEDIUM,2026-09-14 22:11:31.631484
AWB100008,BATCH-D,Shiprocket,M-014,Mumbai,Tier-1,OVERDUE_REMITTANCE,14.0,19.0,0.0,MEDIUM,2026-09-14 22:11:31.791087
AWB100011,BATCH-B,DTDC,M-007,Pune,Tier-2,EXCESS_FORWARD_CHARGE,95.0,114.0,19.0,LOW,2026-09-14 22:11:32.127304
AWB100019,BATCH-C,Delhivery,M-019,Mumbai,Tier-1,COD_SHORT_REMITTANCE,3213.0,2992.0,221.0,MEDIUM,2026-09-14 22:10:12.726074
AWB100020,BATCH-C,Kwikship,M-014,Jaipur,Tier-3,ETA_SLA_BREACH,72.0,103.4,0.0,LOW,2026-09-14 22:11:32.038362
AWB100030,BATCH-C,DTDC,M-020,Pune,Tier-2,EXCESS_FORWARD_CHARGE,65.0,78.0,13.0,LOW,2026-09-14 22:11:32.127304
AWB100035,BATCH-A,Delhivery,M-011,Indore,Tier-2,PHANTOM_RTO_CHARGE,0.0,203.0,203.0,MEDIUM,2026-09-14 22:11:31.631484
AWB100039,BATCH-A,Kwikship,M-016,Jaipur,Tier-3,ETA_SLA_BREACH,72.0,117.0,0.0,LOW,2026-09-14 22:11:32.038362
AWB100039,BATCH-A,Kwikship,M-016,Jaipur,Tier-3,PHANTOM_RTO_CHARGE,0.0,120.0,120.0,MEDIUM,2026-09-14 22:11:31.631484
AWB100047,BATCH-D,DTDC,M-006,Lucknow,Tier-3,EXCESS_FORWARD_CHARGE,95.0,114.0,19.0,LOW,2026-09-14 22:11:32.127304
AWB100051,BATCH-C,DTDC,M-017,Pune,Tier-2,EXCESS_FORWARD_CHARGE,95.0,114.0,19.0,LOW,2026-09-14 22:11:32.127304
AWB100052,BATCH-C,DTDC,M-009,Lucknow,Tier-3,EXCESS_FORWARD_CHARGE,65.0,78.0,13.0,LOW,2026-09-14 22:11:32.127304
AWB100054,BATCH-C,Shiprocket,M-008,Delhi,Tier-1,OVERDUE_REMITTANCE,14.0,25.0,0.0,MEDIUM,2026-09-14 22:11:31.791087
AWB100062,BATCH-C,Kwikship,M-003,Jaipur,Tier-3,PHANTOM_RTO_CHARGE,0.0,232.0,232.0,MEDIUM,2026-09-14 22:11:31.631484
AWB100073,BATCH-B,Kwikship,M-002,Jaipur,Tier-3,ETA_SLA_BREACH,72.0,125.3,0.0,LOW,2026-09-14 22:11:32.038362
AWB100078,BATCH-B,Kwikship,M-004,Lucknow,Tier-3,ETA_SLA_BREACH,72.0,135.6,0.0,LOW,2026-09-14 22:11:32.038362
