kpi_date,courier_,city,tier,orders,disputed_awbs,leakage_rs,avg_dso_days
2026-06-18,Delhivery,Mumbai,Tier-1,2,0,0.0,2.0
2026-06-18,Delhivery,Delhi,Tier-1,1,0,0.0,2.0
2026-06-18,Delhivery,Pune,Tier-2,1,0,0.0,2.0
2026-06-18,Delhivery,Indore,Tier-2,4,0,0.0,2.0
2026-06-18,Delhivery,Jaipur,Tier-3,1,0,0.0,2.0
2026-06-18,Delhivery,Lucknow,Tier-3,1,0,0.0,2.0
2026-06-18,Bluedart,Mumbai,Tier-1,1,0,0.0,2.0
2026-06-18,Bluedart,Delhi,Tier-1,2,1,174.0,2.0
2026-06-18,Bluedart,Jaipur,Tier-3,5,3,247.0,2.0
2026-06-18,Shiprocket,Mumbai,Tier-1,1,0,0.0,2.0
2026-06-18,Shiprocket,Pune,Tier-2,1,0,0.0,2.0
2026-06-18,Shiprocket,Indore,Tier-2,1,0,0.0,2.0
2026-06-18,Shiprocket,Jaipur,Tier-3,1,0,0.0,2.0
2026-06-18,Shiprocket,Lucknow,Tier-3,2,1,236.0,2.0
2026-06-18,DTDC,Mumbai,Tier-1,1,0,0.0,2.0
2026-06-18,DTDC,Delhi,Tier-1,3,2,117.0,2.0
2026-06-18,DTDC,Pune,Tier-2,2,0,0.0,2.0
2026-06-18,DTDC,Jaipur,Tier-3,1,0,0.0,2.0
2026-06-18,Kwikship,Mumbai,Tier-1,3,0,0.0,2.0
2026-06-18,Kwikship,Pune,Tier-2,3,0,0.0,2.0
2026-06-18,Kwikship,Jaipur,Tier-3,2,1,0.0,2.0
2026-06-18,Kwikship,Lucknow,Tier-3,1,0,0.0,2.0
2026-06-19,Delhivery,Mumbai,Tier-1,1,0,0.0,3.0
2026-06-19,Delhivery,Delhi,Tier-1,2,1,168.0,2.5
2026-06-19,Delhivery,Pune,Tier-2,1,1,335.0,3.0
2026-06-19,Delhivery,Indore,Tier-2,3,0,0.0,3.0
2026-06-19,Delhivery,Jaipur,Tier-3,2,1,339.0,2.0
2026-06-19,Delhivery,Lucknow,Tier-3,2,0,0.0,2.5
2026-06-19,Bluedart,Mumbai,Tier-1,4,0,0.0,2.5
2026-06-19,Bluedart,Delhi,Tier-1,1,0,0.0,3.0
2026-06-19,Bluedart,Pune,Tier-2,4,0,0.0,2.25
2026-06-19,Bluedart,Indore,Tier-2,6,0,0.0,2.17
2026-06-19,Bluedart,Jaipur,Tier-3,2,2,199.0,2.0
2026-06-19,Bluedart,Lucknow,Tier-3,1,1,81.0,2.0
2026-06-19,Shiprocket,Mumbai,Tier-1,2,1,189.0,2.5
2026-06-19,Shiprocket,Delhi,Tier-1,6,1,203.0,2.67
2026-06-19,Shiprocket,Pune,Tier-2,1,0,0.0,3.0
2026-06-19,Shiprocket,Indore,Tier-2,1,0,0.0,3.0
2026-06-19,Shiprocket,Jaipur,Tier-3,2,0,0.0,3.0
2026-06-19,Shiprocket,Lucknow,Tier-3,3,1,237.0,3.0
2026-06-19,DTDC,Mumbai,Tier-1,3,3,273.0,2.0
2026-06-19,DTDC,Delhi,Tier-1,3,2,32.0,3.0
2026-06-19,DTDC,Indore,Tier-2,1,1,19.0,2.0
2026-06-19,DTDC,Lucknow,Tier-3,2,0,0.0,2.5
2026-06-19,Kwikship,Mumbai,Tier-1,2,0,0.0,2.0
2026-06-19,Kwikship,Delhi,Tier-1,4,0,0.0,3.0
2026-06-19,Kwikship,Pune,Tier-2,3,0,0.0,2.67
2026-06-19,Kwikship,Indore,Tier-2,5,1,234.0,2.6
2026-06-19,Kwikship,Jaipur,Tier-3,2,1,0.0,2.5
2026-06-19,Kwikship,Lucknow,Tier-3,2,0,0.0,2.5
2026-06-20,Delhivery,Delhi,Tier-1,1,0,0.0,4.0
2026-06-20,Delhivery,Pune,Tier-2,4,0,0.0,2.75
2026-06-20,Delhivery,Indore,Tier-2,1,0,0.0,4.0
2026-06-20,Delhivery,Jaipur,Tier-3,1,0,0.0,2.0
