merchant_,category,orders_,gmv,leakage,dispute_rate,value_quartile,health
M-006,Food,1319,3734858.0,144531.0,0.27520849128127367,Q1,watchlist
M-005,Grocery,1297,3574628.0,103861.0,0.24980724749421743,Q3,watchlist
M-015,Pharmacy,1311,3628467.0,84525.0,0.2387490465293669,Q2,watchlist
M-016,D2C,1260,3558516.0,100358.0,0.24682539682539684,Q3,watchlist
M-019,Pharmacy,1227,3397862.0,79277.0,0.22982885085574573,Q4,watchlist
M-009,Grocery,1317,3702892.0,93051.0,0.2528473804100228,Q1,watchlist
M-020,D2C,1351,3627735.0,96883.0,0.26424870466321243,Q2,watchlist
M-008,D2C,1297,3588213.0,127767.0,0.2336160370084811,Q2,watchlist
M-011,Pharmacy,1235,3384989.0,119156.0,0.2623481781376518,Q4,watchlist
M-018,Food,1262,3536814.0,97001.0,0.26386687797147385,Q3,watchlist
M-013,Grocery,1272,3581778.0,132710.0,0.2507861635220126,Q3,watchlist
M-001,Grocery,1293,3623983.0,107547.0,0.2451662799690642,Q2,watchlist
M-003,Pharmacy,1282,3563049.0,105775.0,0.2542901716068643,Q3,watchlist
M-010,Food,1320,3747582.0,162882.0,0.25,Q1,watchlist
M-007,Pharmacy,1304,3703406.0,138941.0,0.2607361963190184,Q1,watchlist
M-017,Grocery,1280,3516542.0,82770.0,0.2421875,Q4,watchlist
M-002,Food,1276,3723719.0,136675.0,0.26410658307210033,Q1,watchlist
M-012,D2C,1219,3451882.0,113945.0,0.2346185397867104,Q4,watchlist
M-014,Food,1246,3423976.0,76327.0,0.23675762439807382,Q4,watchlist
M-004,D2C,1314,3655817.0,130737.0,0.2686453576864536,Q2,watchlist
