ym,orders_,late_orders,avg_late_days
2016-09,1,1,36.0
2016-10,265,3,6.0
2016-12,1,0,
2017-01,750,23,19.0
2017-02,1653,53,19.0
2017-03,2546,142,20.0
2017-04,2303,181,10.0
2017-05,3546,128,10.0
2017-06,3135,121,11.0
2017-07,3872,133,9.0
2017-08,4193,139,7.0
2017-09,4150,216,7.0
2017-10,4478,237,7.0
2017-11,7289,1043,9.0
2017-12,5513,462,8.0
2018-01,7069,464,10.0
2018-02,6555,1048,11.0
2018-03,7003,1496,8.0
2018-04,6798,361,8.0
2018-05,6749,556,5.0
2018-06,6099,83,11.0
2018-07,6159,276,6.0
2018-08,6351,660,2.0
