seller_id,orders_,late_rate
54965bbe3e4f07ae045b90b0b8541f52,81,0.320987
2a1348e9addc1af5aaa619b1a3679d6b,51,0.294117
6039e27294dc75811c0d8a39069f52c0,74,0.256756
a49928bcdf77c55c6d6e05e09a9b4ca5,104,0.25
602044f2c16190c2c6e45eb35c2e21cb,55,0.236363
06a2c3af7b3aee5d69171b0e14f0ee87,402,0.236318
beadbee30901a7f61d031b6b686095ad,68,0.235294
cac4c8e7b1ca6252d8f20b2fc1a2e4af,82,0.231707
ea566164622c6b439516ab18062c42cd,52,0.230769
99a54764c341d5dc80b4a8fac4eba3fb,66,0.227272
bbad7e518d7af88a0897397ffdca1979,84,0.22619
2a261b5b644fa05f4f2700eb93544f2c,82,0.219512
712e6ed8aa4aa1fa65dab41fed5737e4,85,0.211764
d13e50eaa47b4cbe9eb81465865d8cfc,68,0.205882
cd68562d3f44870c08922d380acae552,129,0.20155
1ca7077d890b907f89be8c954a02686a,127,0.19685
88460e8ebdecbfecb5f9601833981930,300,0.196666
0bf0150d5b9d60d9cd2906003332f085,62,0.193548
0d85bbda9889ce1f7e63778d24f346eb,58,0.189655
e5a3438891c0bfdb9394643f95273d8e,247,0.182186
8160255418d5aaa7dbdc9f4c64ebda44,424,0.179245
d20b021d3efdf267a402c402a48ea64b,102,0.17647
b17b679f4f5ce2e03ce6968c62648246,51,0.17647
11bfa66332777660bd0640ee84d47006,102,0.17647
2c9e548be18521d1c43cde1c582c6de8,171,0.16959
6973a06f484aacf400ece213dbf3d946,108,0.166666
891071be6ba827b591264c90c2ae8a63,90,0.166666
002100f778ceb8431b7a1020ff7ab48f,54,0.166666
f7ba60f8c3f99e7ee4042fdef03b70c4,229,0.165938
56642bcb79900e777d68e91915cb4267,56,0.160714
06579cb253ecd5a3a12a9e6eb6bf8f47,70,0.157142
a6fe7de3d16f6149ffe280349a8535a0,51,0.156862
e62b2d6ac10570a035a30bafcf01d263,71,0.154929
ba143b05f0110f0dc71ad71b4466ce92,84,0.154761
8b9d6eec4a7eb7d0f9d579ce0b38324d,52,0.153846
431af27f296bc6519d890aa5a05fdb11,124,0.153225
903037660cf848a717166eb7a06d616e,59,0.152542
adbc26658d6c7b4b6219f9d934598091,92,0.152173
05f51e13da97139648b8125c31e5f51b,60,0.15
75d34ebb1bd0bd7dde40dd507b8169c3,67,0.149253
a888faf2d1baececa6baf9c3d603ee1f,54,0.148148
dd7ddc04e1b6c2c614352b383efe2d36,142,0.147887
b561927807645834b59ef0d16ba55a24,95,0.147368
