merchant_id,merchant_name,category
M-001,Merchant-1,Grocery
M-002,Merchant-2,Food
M-003,Merchant-3,Pharmacy
M-004,Merchant-4,D2C
M-005,Merchant-5,Grocery
M-006,Merchant-6,Food
M-007,Merchant-7,Pharmacy
M-008,Merchant-8,D2C
M-009,Merchant-9,Grocery
M-010,Merchant-10,Food
M-011,Merchant-11,Pharmacy
M-012,Merchant-12,D2C
M-013,Merchant-13,Grocery
M-014,Merchant-14,Food
M-015,Merchant-15,Pharmacy
M-016,Merchant-16,D2C
M-017,Merchant-17,Grocery
M-018,Merchant-18,Food
M-019,Merchant-19,Pharmacy
M-020,Merchant-20,D2C
