order_id,awb_number,courier_id,merchant_id,geo_id,order_date,delivery_date,order_status,payment_mode,cod_amount,declared_weight,order_value,promised_eta_hrs,actual_eta_hrs
ORD100000,AWB100000,4,M-018,3,2026-07-15,,IN_TRANSIT,COD,3898,7.324,3898,96,
ORD100001,AWB100001,2,M-011,2,2026-07-14,2026-07-16,DELIVERED,COD,3036,7.099,3036,48,30.3
ORD100002,AWB100002,4,M-001,4,2026-08-29,2026-09-02,DELIVERED,COD,4930,2.956,4930,96,83.5
ORD100003,AWB100003,2,M-015,2,2026-06-28,2026-06-30,DELIVERED,COD,1991,2.744,1991,48,31.0
ORD100004,AWB100004,1,M-009,6,2026-06-21,,RTO,COD,2418,4.254,2418,72,
ORD100005,AWB100005,5,M-015,2,2026-08-28,2026-08-31,DELIVERED,Prepaid,0,1.365,4282,72,67.5
ORD100006,AWB100006,3,M-015,2,2026-08-18,2026-08-23,DELIVERED,Prepaid,0,5.961,4276,96,108.9
ORD100007,AWB100007,4,M-016,2,2026-06-24,,IN_TRANSIT,Prepaid,0,1.44,4190,96,
ORD100008,AWB100008,3,M-014,1,2026-08-14,,IN_TRANSIT,Prepaid,0,3.011,3469,96,
ORD100009,AWB100009,1,M-013,5,2026-06-27,2026-06-29,DELIVERED,COD,3782,4.314,3782,72,51.1
ORD100010,AWB100010,2,M-005,1,2026-06-16,2026-06-18,DELIVERED,Prepaid,0,1.711,983,48,45.0
ORD100011,AWB100011,4,M-007,3,2026-06-25,2026-06-29,DELIVERED,COD,3820,4.771,3820,96,91.5
ORD100012,AWB100012,2,M-014,2,2026-08-16,,RTO,COD,3634,2.062,3634,48,
ORD100013,AWB100013,5,M-004,3,2026-06-27,2026-06-29,DELIVERED,Prepaid,0,7.556,2100,72,49.5
ORD100014,AWB100014,3,M-010,6,2026-06-28,2026-07-01,DELIVERED,Prepaid,0,0.828,577,96,67.4
ORD100015,AWB100015,5,M-017,4,2026-06-29,2026-07-02,DELIVERED,COD,2902,7.427,2902,72,72.6
ORD100016,AWB100016,5,M-008,1,2026-09-12,,IN_TRANSIT,Prepaid,0,8.048,3817,72,
ORD100017,AWB100017,2,M-001,1,2026-08-18,2026-08-20,DELIVERED,Prepaid,0,6.131,3474,48,51.4
ORD100018,AWB100018,3,M-009,3,2026-08-15,2026-08-19,DELIVERED,COD,3225,2.539,3225,96,88.2
ORD100019,AWB100019,1,M-019,1,2026-09-07,2026-09-11,DELIVERED,COD,3213,1.19,3213,72,78.7
ORD100020,AWB100020,5,M-014,5,2026-07-04,2026-07-09,DELIVERED,Prepaid,0,4.616,1007,72,103.4
ORD100021,AWB100021,5,M-008,1,2026-08-14,2026-08-18,DELIVERED,Prepaid,0,4.693,1119,72,84.0
ORD100022,AWB100022,5,M-012,5,2026-07-03,2026-07-06,DELIVERED,COD,4601,4.798,4601,72,72.9
ORD100023,AWB100023,2,M-014,4,2026-06-28,2026-06-30,DELIVERED,Prepaid,0,2.936,3819,48,40.7
ORD100024,AWB100024,5,M-004,5,2026-08-19,2026-08-22,DELIVERED,COD,1939,5.446,1939,72,76.5
ORD100025,AWB100025,3,M-002,3,2026-07-31,2026-08-04,DELIVERED,Prepaid,0,3.769,2071,96,93.1
ORD100026,AWB100026,1,M-008,1,2026-07-01,2026-07-04,DELIVERED,Prepaid,0,1.078,431,72,54.9
ORD100027,AWB100027,5,M-007,6,2026-09-05,2026-09-08,DELIVERED,COD,3089,2.63,3089,72,54.4
ORD100028,AWB100028,4,M-019,5,2026-09-03,,RTO,COD,1744,2.239,1744,96,
ORD100029,AWB100029,1,M-016,5,2026-08-11,,LOST,COD,1173,1.06,1173,72,
ORD100030,AWB100030,4,M-020,3,2026-08-29,,IN_TRANSIT,Prepaid,0,2.052,3380,96,
ORD100031,AWB100031,3,M-019,2,2026-07-29,2026-08-01,DELIVERED,COD,5762,5.043,5762,96,74.0
ORD100032,AWB100032,2,M-010,6,2026-08-28,2026-08-30,DELIVERED,COD,1454,7.22,1454,48,31.3
ORD100033,AWB100033,4,M-014,3,2026-08-30,2026-09-03,DELIVERED,Prepaid,0,3.17,1119,96,87.4
ORD100034,AWB100034,1,M-008,6,2026-08-06,,IN_TRANSIT,COD,4128,0.918,4128,72,
ORD100035,AWB100035,1,M-011,4,2026-08-01,2026-08-03,DELIVERED,COD,2923,5.017,2923,72,43.9
ORD100036,AWB100036,4,M-006,6,2026-07-20,2026-07-24,DELIVERED,COD,655,4.94,655,96,86.1
ORD100037,AWB100037,3,M-017,6,2026-08-01,,LOST,COD,3290,4.294,3290,96,
ORD100038,AWB100038,5,M-020,4,2026-06-17,2026-06-19,DELIVERED,Prepaid,0,8.059,3545,72,50.1
ORD100039,AWB100039,5,M-016,5,2026-08-15,2026-08-20,DELIVERED,COD,5569,5.646,5569,72,117.0
ORD100040,AWB100040,2,M-020,4,2026-08-08,2026-08-11,DELIVERED,Prepaid,0,0.528,3036,48,54.0
ORD100041,AWB100041,2,M-013,6,2026-08-16,2026-08-18,DELIVERED,COD,5976,1.781,5976,48,45.9
ORD100042,AWB100042,5,M-012,3,2026-08-29,2026-09-01,DELIVERED,COD,4204,6.066,4204,72,67.7
ORD100043,AWB100043,1,M-002,1,2026-06-24,,RTO,COD,721,6.361,721,72,
ORD100044,AWB100044,2,M-015,2,2026-07-17,,IN_TRANSIT,Prepaid,0,7.208,2620,48,
ORD100045,AWB100045,3,M-003,2,2026-07-12,2026-07-16,DELIVERED,COD,5570,7.947,5570,96,82.4
ORD100046,AWB100046,5,M-007,5,2026-06-24,2026-06-27,DELIVERED,Prepaid,0,2.266,903,72,57.0
ORD100047,AWB100047,4,M-006,6,2026-06-19,,LOST,COD,3269,3.519,3269,96,
ORD100048,AWB100048,2,M-008,4,2026-08-04,,IN_TRANSIT,Prepaid,0,5.673,2462,48,
ORD100049,AWB100049,3,M-010,4,2026-07-23,2026-07-26,DELIVERED,Prepaid,0,3.67,992,96,57.9
ORD100050,AWB100050,1,M-006,4,2026-09-10,2026-09-12,DELIVERED,Prepaid,0,1.493,3133,72,52.5
ORD100051,AWB100051,4,M-017,3,2026-09-06,,IN_TRANSIT,Prepaid,0,7.268,4111,96,
ORD100052,AWB100052,4,M-009,6,2026-08-11,,LOST,Prepaid,0,1.791,439,96,
ORD100053,AWB100053,3,M-011,6,2026-07-15,2026-07-18,DELIVERED,Prepaid,0,7.474,651,96,70.6
ORD100054,AWB100054,3,M-008,2,2026-08-14,2026-08-18,DELIVERED,Prepaid,0,7.45,1253,96,91.6
