settlement_id,awb_number,batch_id,courier_id,settlement_date,settled_cod,charged_weight,forward_charge,rto_charge,cod_fee
STL100000,AWB100000,BATCH-D,4,2026-07-20,3898,7.324,114,0,77
STL100001,AWB100001,BATCH-A,2,2026-07-20,3036,7.099,95,140,60
STL100002,AWB100002,BATCH-A,4,2026-08-31,4930,2.956,65,183,98
STL100003,AWB100003,BATCH-C,2,2026-07-05,1991,2.744,65,0,39
STL100004,AWB100004,BATCH-A,1,2026-06-30,2418,4.254,95,141,48
STL100005,AWB100005,BATCH-C,5,2026-09-06,0,1.365,65,0,0
STL100006,AWB100006,BATCH-B,3,2026-08-23,0,5.961,95,0,0
STL100007,AWB100007,BATCH-C,4,2026-06-27,0,1.44,65,0,0
STL100008,AWB100008,BATCH-D,3,2026-09-02,0,3.011,95,0,0
STL100009,AWB100009,BATCH-B,1,2026-06-29,3782,4.314,95,0,75
STL100010,AWB100010,BATCH-B,2,2026-06-20,0,1.711,65,0,0
STL100011,AWB100011,BATCH-B,4,2026-06-28,3820,4.771,114,0,76
STL100012,AWB100012,BATCH-C,2,2026-08-21,3634,2.062,65,122,72
STL100013,AWB100013,BATCH-A,5,2026-07-03,0,7.556,95,0,0
STL100014,AWB100014,BATCH-D,3,2026-07-04,0,0.828,42,0,0
STL100015,AWB100015,BATCH-C,5,2026-07-03,2902,7.427,95,0,58
STL100016,AWB100016,BATCH-C,5,2026-09-17,0,8.048,95,0,0
STL100017,AWB100017,BATCH-C,2,2026-08-21,0,6.131,95,0,0
STL100018,AWB100018,BATCH-B,3,2026-08-21,3225,2.539,65,0,64
STL100019,AWB100019,BATCH-C,1,2026-09-09,2992,1.19,65,0,64
STL100020,AWB100020,BATCH-C,5,2026-07-08,0,4.616,95,0,0
STL100021,AWB100021,BATCH-C,5,2026-08-23,0,4.693,95,0,0
STL100022,AWB100022,BATCH-D,5,2026-07-09,4601,4.798,95,0,92
STL100023,AWB100023,BATCH-D,2,2026-07-02,0,2.936,65,0,0
STL100024,AWB100024,BATCH-D,5,2026-08-26,1939,5.446,95,0,38
STL100025,AWB100025,BATCH-A,3,2026-08-07,0,3.769,95,0,0
STL100026,AWB100026,BATCH-D,1,2026-07-08,0,1.078,65,0,0
STL100027,AWB100027,BATCH-C,5,2026-09-11,3089,2.63,65,0,61
STL100028,AWB100028,BATCH-B,4,2026-09-09,1744,2.239,65,198,34
STL100029,AWB100029,BATCH-B,1,2026-08-19,1173,1.06,65,0,23
STL100030,AWB100030,BATCH-C,4,2026-09-01,0,2.052,78,0,0
STL100031,AWB100031,BATCH-C,3,2026-07-31,5762,5.043,95,0,115
STL100032,AWB100032,BATCH-B,2,2026-08-31,1454,7.22,95,0,29
STL100033,AWB100033,BATCH-B,4,2026-09-07,0,3.17,95,0,0
STL100034,AWB100034,BATCH-C,1,2026-08-15,4128,0.918,42,0,82
STL100035,AWB100035,BATCH-A,1,2026-08-08,2923,5.017,95,203,58
STL100036,AWB100036,BATCH-A,4,2026-07-25,655,4.94,95,0,13
STL100037,AWB100037,BATCH-C,3,2026-08-08,3290,4.294,95,0,65
STL100038,AWB100038,BATCH-A,5,2026-06-19,0,8.059,95,0,0
STL100039,AWB100039,BATCH-A,5,2026-08-22,5569,5.646,95,120,111
STL100040,AWB100040,BATCH-D,2,2026-08-12,0,0.528,42,0,0
STL100041,AWB100041,BATCH-B,2,2026-08-18,5976,1.781,65,0,119
STL100042,AWB100042,BATCH-D,5,2026-09-04,4204,6.066,95,0,84
STL100043,AWB100043,BATCH-B,1,2026-06-26,721,6.361,95,145,14
STL100044,AWB100044,BATCH-C,2,2026-07-22,0,7.208,95,0,0
STL100045,AWB100045,BATCH-C,3,2026-07-18,5570,7.947,95,0,111
STL100046,AWB100046,BATCH-A,5,2026-06-30,0,2.266,65,0,0
STL100047,AWB100047,BATCH-D,4,2026-06-22,3269,3.519,114,0,65
STL100048,AWB100048,BATCH-C,2,2026-08-13,0,5.673,95,0,0
STL100049,AWB100049,BATCH-B,3,2026-07-30,0,3.67,95,0,0
